genre_category,artist_genres
Hip-Hop,"melodic rap, pop rap, rap, slap house, trap"
Hip-Hop,"melodic rap, pluggnb, rap"
Hip-Hop,"melodic rap, plugg, underground hip hop, vapor trap"
Hip-Hop,"melodic rap, philly rap, rap, trap"
International,"melodic metalcore, metalcore, rock, uk metalcore"
Other,melbourne bounce
International,"mariachi, musica mexicana, nueva musica mexicana, ranchera"
Other,man's orchestra
International,london rap
Other,light music
Other,"lgbtq+ hip hop, pop"
International,"latin viral pop, pop, rap latina, reggaeton"
International,"latin viral pop, pop venezolano"
International,"latin pop, viral pop"
International,"latin pop, reggaeton, reggaeton flow, trap latino"
International,"latin pop, reggaeton chileno, trap chileno"
International,"latin pop, puerto rican pop"
International,"latin pop, pop venezolano, reggaeton, trap latino"
International,"latin pop, pop argentino"
International,"latin pop, modern salsa, salsa, tropical"
International,"latin pop, mexican pop"
International,"latin pop, latin viral pop, mexican pop, pop"
International,"latin pop, latin talent show, spanish pop"
International,latin pop
International,"latin hip hop, reggaeton, trap latino"
International,"latin hip hop, reggaeton, reggaeton flow, trap latino"
International,"latin hip hop, reggaeton"
International,"latin hip hop, rap boricua, reggaeton, reggaeton flow, trap latino"
International,"latin hip hop, puerto rican pop, reggaeton, trap latino"
International,"latin hip hop, perreo, reggaeton, reggaeton flow, trap latino"
International,"latin hip hop, perreo, reggaeton, reggaeton colombiano, reggaeton flow, trap latino"
International,"latin hip hop, latin pop, reggaeton, reggaeton flow, trap latino"
International,"latin hip hop, latin pop, rap latina, reggaeton, trap latino"
International,"latin hip hop, latin pop, pop reggaeton, reggaeton, reggaeton flow, trap latino"
International,"latin hip hop, latin pop, panamanian pop, pop peruano, pop reggaeton, reggaeton, trap latino"
International,"latin arena pop, puerto rican pop"
International,"latin arena pop, latin pop, spanish pop"
International,"latin arena pop, latin pop, mexican pop"
Pop,"la pop, pop"
Pop,la pop
Pop,"k-rap, pop"
Pop,k-rap
Pop,"k-pop, k-rap"
Pop,"k-pop, k-pop girl group"
Pop,"k-pop, k-pop boy group"
Pop,k-pop girl group
Pop,k-pop
Hip-Hop,"kentucky hip hop, pop, r&b, rap, trap"
Hip-Hop,"kentucky hip hop, pop rap, rap, southern hip hop, trap"
International,jawaiian
International,"italian pop, italian reggae"
International,italian pop
International,"italian hip hop, trap italiana"
International,"italian hip hop, rap napoletano, trap italiana"
International,"italian hip hop, rap napoletano"
International,"italian hip hop, rap genovese, trap italiana"
International,"italian hip hop, italian underground hip hop, rap sardegna"
International,"italian hip hop, italian underground hip hop, rap napoletano"
International,"italian hip hop, italian pop, trap italiana"
International,"italian hip hop, italian pop, milan indie, rap tunisien"
